ID,Fight_Num,Event_Card,Event_Weight,Red_Event_fighter_image,Red_Fighter_Name,Red_Fighter_Nickname,Blue_Fighter_Name,Blue_Event_fighter_image,Blue_Fighter_Nickname
4,46, None, Welterweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-01/THOMPSON_STEPHEN_L_12-16.png?itok=8i97fVDl, Stephen Thompson," ""Wonderboy""", Joaquin Buckley, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-06/BUCKLEY_JOAQUIN_R_05-11.png?itok=Lj-_IkWj," ""New Mansa"""
4,47, None, Bantamweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2022-03/d44b164d-b5ae-4594-959e-12a7d6343803%252FALDO_JOSE_L_12-04.png?itok=J0vKBt4n, José Aldo, , Mario Bautista, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-01/BAUTISTA_MARIO_R_01-13.png?itok=3vg6S7Zl, 
4,48, None, Middleweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-07/DOLIDZE_ROMAN_L_06-29.png?itok=G5eYnO4Z, Roman Dolidze, , Kevin Holland, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-06/HOLLAND_KEVIN_R_06-01.png?itok=WzJQIfoo," ""Trailblazer"""
4,49, None, Featherweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-01/EVLOEV_MOVSAR_L_01-20.png?itok=eHJUWYYQ, Movsar Evloev, , Aljamain Sterling, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-04/STERLING_ALJAMAIN_R_04-13.png?itok=MygDEleb," ""Funk Master"""
4,50, None, Women's Bantamweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-07/VIEIRA_KETLEN_L_07-22.png?itok=zdgAvZPT, Ketlen Vieira," ""Fenomeno""", Kayla Harrison, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-04/HARRISON_KAYLA_R_04-13.png?itok=pqL0PrVr, 
7,51, None, Featherweight Title Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-02/TOPURIA_ILIA_L_BELT_02-17.png?itok=qGX1QpC-, Ilia Topuria," ""El  Matador""", Max Holloway, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-04/HOLLOWAY_MAX_R_04-13.png?itok=B04PougL," ""Blessed"""
7,52, None, Heavyweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-08/GANE_CIRYL_L_09-02.png?itok=WD5cHhTq, Ciryl Gane," ""Bon Gamin""", Alexander Volkov, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-06/VOLKOV_ALEXANDER_R_06-22.png?itok=menz4ry6," ""Drago"""
7,53, None, Middleweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-07/WHITTAKER_ROBERT_L_06-22.png?itok=YCcXPKAV, Robert Whittaker," ""The Reaper""", Khamzat Chimaev, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2021-10/71660%252Fprofile-galery%252Ffullbodyright-picture%252FCHIMAEV_KHAMZAT_R_10-30.png?itok=vBiGaKoz," ""Borz"""
7,54, None, Light Heavyweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-01/ANKALAEV_MAGOMED_L_01-13.png?itok=L5OxgjhW, Magomed Ankalaev, , Aleksandar Rakić, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-04/RAKIC_ALEKSANDAR_R_04-13.png?itok=a2aumc1u," ""Rocket"""
7,55, None, Featherweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-06/MURPHY_LERONE_L_05-18.png?itok=VTxF42F1, Lerone Murphy," ""The Miracle""", Dan Ige, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-01/IGE_DAN_R_09-23.png?itok=hkflWxj9," ""50K"""
