First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg,Total Fights,Weight Class,Fighter_ID
Ricky,Johnson,,"5' 8""",145 lbs.,--,Orthodox,10,6,0,0,1.83,25%,6.30,36%,0.00,0%,0%,0.0,16,FeatherWeight,1771
Tony,Johnson,,"6' 2""",205 lbs.,"76.0""",Orthodox,7,2,0,0,4.00,92%,3.67,22%,0.00,0%,90%,0.0,9,LightHeavyWeight,1772
Lavar,Johnson,Big,"6' 4""",240 lbs.,"82.0""",Orthodox,18,10,0,0,5.39,55%,2.54,55%,0.61,66%,54%,0.6,28,HeavyWeight,1773
Demetrious,Johnson,Mighty Mouse,"5' 3""",125 lbs.,"66.0""",Orthodox,27,3,1,0,3.43,54%,1.66,67%,3.35,56%,65%,0.5,31,FlyWeight,1774
Michael,Johnson,The Menace,"5' 10""",155 lbs.,"73.0""",Southpaw,23,19,0,0,4.27,39%,3.83,57%,0.62,41%,81%,0.0,42,LightWeight,1775
Deshaun,Johnson,,--,167 lbs.,--,,6,9,0,0,2.27,41%,6.67,43%,0.00,0%,0%,0.0,15,WelterWeight,1776
Kajan,Johnson,Ragin',"5' 11""",155 lbs.,"75.0""",Orthodox,23,13,1,0,2.47,42%,1.59,64%,1.54,37%,62%,0.2,37,LightWeight,1777
Dashon,Johnson,Flyboy,"5' 7""",145 lbs.,--,Orthodox,9,2,0,0,1.01,69%,3.83,35%,0.85,33%,63%,0.8,11,FeatherWeight,1778
Timothy,Johnson,,"6' 3""",265 lbs.,"77.0""",Southpaw,12,4,0,0,3.43,45%,3.08,44%,1.09,24%,69%,0.0,16,HeavyWeight,1779
Tony,Johnson,,"6' 1""",265 lbs.,--,,11,3,0,0,2.00,53%,4.73,31%,2.00,22%,0%,0.0,14,HeavyWeight,1780
Jordan,Johnson,,"6' 2""",205 lbs.,"79.0""",Orthodox,10,0,0,0,3.45,47%,2.64,53%,3.25,42%,100%,1.2,10,LightHeavyWeight,1781
Taylor,Johnson,Tombstone,"6' 0""",185 lbs.,"74.0""",Switch,5,1,0,0,5.09,60%,1.13,33%,8.49,100%,100%,0.0,6,MiddleWeight,1782
Chad,Johnson,Big Rigg,"6' 2""",230 lbs.,"80.0""",Orthodox,6,2,0,0,5.92,68%,7.80,40%,0.00,0%,0%,0.0,8,HeavyWeight,1783
Jose,Johnson,Lobo Solitario,"6' 0""",125 lbs.,"71.0""",Orthodox,16,8,0,0,2.80,60%,1.73,55%,0.62,50%,36%,0.6,24,FlyWeight,1784
Charles,Johnson,InnerG,"5' 9""",125 lbs.,"70.0""",Switch,15,6,0,0,4.48,52%,3.16,59%,0.41,23%,67%,0.6,21,FlyWeight,1785
Brian,Johnston,,"6' 3""",230 lbs.,--,Orthodox,5,5,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,10,HeavyWeight,1786
Liana,Jojua,She Wolf,"5' 4""",125 lbs.,"62.0""",Orthodox,8,5,0,0,2.42,30%,5.32,54%,1.71,66%,50%,1.3,13,FlyWeight,1787
Daniel,Jolly,The Werewolf of Texas,"6' 1""",205 lbs.,"75.0""",Orthodox,5,3,0,0,1.32,46%,3.39,44%,2.83,33%,50%,0.0,8,LightHeavyWeight,1788
Paul,Jones,,"5' 9""",199 lbs.,--,Orthodox,11,1,1,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,13,LightHeavyWeight,1789
Jon,Jones,Bones,"6' 4""",248 lbs.,"84.0""",Orthodox,27,1,0,1,4.29,57%,2.22,64%,1.93,45%,95%,0.5,28,HeavyWeight,1790
Nathan,Jones,,"6' 11""",345 lbs.,--,Orthodox,0,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,HeavyWeight,1791
Marcus,Jones,The Darkness,"6' 6""",265 lbs.,--,Orthodox,4,2,0,0,1.94,52%,2.71,58%,8.71,75%,0%,2.9,6,HeavyWeight,1792
Carlton,Jones,,"6' 1""",225 lbs.,--,Orthodox,1,4,0,0,2.32,41%,3.58,56%,4.02,50%,57%,2.7,5,HeavyWeight,1793
Jesse,Jones,,"5' 9""",170 lbs.,--,,2,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,3,WelterWeight,1794
Tito,Jones,,"5' 8""",145 lbs.,--,Southpaw,11,8,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,19,FeatherWeight,1795
Roy,Jones,,--,205 lbs.,--,,7,5,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,12,LightHeavyWeight,1796
Justin,Jones,Black Dynamite,"5' 11""",185 lbs.,--,Orthodox,9,2,0,0,1.70,36%,3.17,45%,1.00,15%,46%,0.5,11,MiddleWeight,1797
Ben,Jones,Blitzkrieg,--,185 lbs.,--,,4,4,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,8,MiddleWeight,1798
Victor,Jones,,--,145 lbs.,--,,1,3,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,4,FeatherWeight,1799
Chris,Jones,Lionheart,"5' 9""",149 lbs.,--,,10,5,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,15,LightWeight,1800
Roshaun,Jones,,"5' 8""",135 lbs.,--,,2,6,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,8,BantamWeight,1801
Jamelle,Jones,The Beast,"6' 0""",205 lbs.,"75.0""",Orthodox,7,5,0,0,1.78,80%,3.11,65%,0.00,0%,0%,0.0,12,LightHeavyWeight,1802
Antonio,Jones,Doomsday,"5' 11""",185 lbs.,--,Orthodox,6,1,0,0,7.50,55%,30.00,42%,0.00,0%,0%,0.0,7,MiddleWeight,1803
